FOODID;FOODNAME;LANG
367;CANTHARELLUS CIBARIUS;TX
368;GYROMITRA ESCULENTA;TX
369;ANETHUM GRAVEOLENS;TX
370;PISUM SATIVUM;TX
371;PISUM SATIVUM;TX
372;PHASEOLUS VULGARIS;TX
373;PHASEOLUS VULGARIS;TX
375;CORYLUS AVELLANA;TX
376;JUGLANS REGIA;TX
377;CASTANEA SATIVA;TX
378;ARACHIS HYPOGAEA;TX
379;PRUNUS AMYGDALUS;TX
380;GLYSINE MAX;TX
381;GLYSINE MAX;TX
382;COCOS NUCIFERA;TX
383;ARACHIS HYPOGAEA;TX
384;MEDICAGO SATIVA, VIGNA MUNGO;TX
385;SESAMUM INDICUM;TX
386;CAPSICUM ANNUUM;TX
387;CAPSICUM ANNUUM;TX
388;CAPSICUM ANNUUM;TX
389;CUCURBITA PEPO;TX
390;LYCOPERSICON ESCULENTUM;TX
391;GLYSINE MAX;TX
392;ALLIUM SCHOENOPRASUM;TX
393;ALLIUM SATIVUM;TX
394;CUCUMIS SATIVUS;TX
395;PHASEOLUS VULGARIS;TX
398;LYCOPERSICON ESCULENTUM;TX
399;LENS CULINARIS;TX
401;MALUS;TX
408;PRUNUS ARMENIACA;TX
409;PRUNUS ARMENIACA;TX
411;PRUNUS PERSICA;TX
412;PRUNUS PERSICA;TX
417;ANANAS COMOSUS;TX
423;VITIS VINIFERA L.;TX
428;VITIS VINIFERA;TX
431;OLEA EUROPAEA SATIVA;TX
433;MALUS;TX
434;CITRUS SINENSIS;TX
435;CITRUS PARADISI;TX
437;CITRUS LIMON;TX
438;ANANAS COMOSUS;TX
440;VACCINIUM VITIS-IDAEA;TX
441;VACCINIUM OXOCOCCUS, V. MACROCARPON;TX
442;VACCINIUM MYRTILLUS;TX
444;RIBES NIGRUM;TX
445;RIBES RUBRUM RIBES*PALLIDUM;TX
446;RIBES UVA-CRISPA;TX
447;FRAGARIA ANANASSA;TX
448;RUBUS IDAEUS;TX
449;RUBUS CHAMAEMORUS;TX
452;RIBES NIGRUM;TX
455;HIPPOPHAE RHAMNOIDES;TX
457;SORBUS AUCUPARIA;TX
459;VACCINIUM VITIS-IDAEA;TX
462;RIBES NIGRUM;TX
471;ANANAS COMOSUS;TX
472;MALUS;TX
477;CUCUMIS MELO VAR. CANTALUPENSIS/RETICULATA;TX
800;CLUPEA HARENGUS MEMBRAS;TX
801;CLUPEA HARENGUS MEMBRAS;TX
802;CLUPEA HARENGUS MEMBRAS;TX
803;CLUPEA HARENGUS HARENGUS;TX
804;GADUS MORHUA;TX
805;STIZOSTEDION LUCIOPERCA;TX
806;SEBASTES MARINUS;TX
807;HIPPOGLOSSUS HIPPOGLOSSUS;TX
809;COREGONUS ALBULA;TX
810;COREGONUS ALBULA;TX
811;COREGONUS ALBULA;TX
812;PERCA FLUVIATILIS;TX
813;ESOX LUCIUS;TX
814;ABRAMIS BRAMA;TX
815;COREGONUS LAVARETUS;TX
816;COREGONUS LAVARETUS;TX
817;SALMO SALAR;TX
818;SALMO SALAR;TX
819;LOTA LOTA;TX
820;PLATICHTHYS FLESUS;TX
821;ANGUILLA ANGUILLA;TX
822;ONCORHYNCHUS MYKISS;TX
823;SALMO TRUTTA;TX
825;LAMPETRA FLUVIATILIS;TX
826;POLLACHIUS VIRENS;TX
828;THUNNUS ALALUNGA;TX
829;ENGRAULIS ENCRACIOLUS;TX
830;SALMO SALAR;TX
831;SARDINA PILCHARDUS;TX
832;ACIPENSER STURIO;TX
834;MYTILUS EDULIS;TX
835;PANDALUS;TX
836;ASTACUS;TX
837;CLUPEA HARENGUS HARENGUS;TX
838;CLUPEA HARENGUS MEMBRAS;TX
844;ABRAMIS BRAMA;TX
845;RUTILUS RUTILUS;TX
846;SEBASTES MARINUS;TX
848;ONCORHYNCHUS MYKISS;TX
859;CLUPEA HARENGUS HARENGUS;TX
860;CLUPEA HARENGUS MEMBRAS;TX
862;THUNNUS THYNNUS;TX
863;OSTREA EDULIS;TX
864;HELIX SPP.;TX
865;OCTOPUS SPP.;TX
866;HOMARUS VULGARIS;TX
870;ONCORHYNCHUS MYKISS;TX
871;SALMO SALAR;TX
3334;AGARICUS BISPORUS;TX
3368;GYROMITRA ESCULENTA;TX
3799;CUCURBITA PEPO;TX
3800;CUCURBITA PEPO;TX
3801;SOLANUM MELONGENA;TX
4421;VACCINIUM VITIS-IDAEA;TX
8098;PLATICHTHYS FLESUS;TX
11007;ROSA RUGOSA;TX
11012;FRAGARIA ANANASSA;TX
11013;CITRUS SINENSIS;TX
11014;ELAEIS GUINEENSIS;TX
11030;SECALE CEREALE;TX
11045;CITRUS SINENSIS;TX
11046;CITRUS RETICULATA;TX
11047;CITRUS PARADISI;TX
11048;CITRUS LIMON;TX
11049;MUSA SAPIENTUM;TX
11050;ACTINIDIA CHINENSIS;TX
11051;PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA;TX
11052;PRUNUS AVIUM L., PRUNUS CERASUS L.;TX
11053;PRUNUS DOMESTICA;TX
11054;PRUNUS ARMENIACA;TX
11055;CITRULLUS LANATUS;TX
11056;ANANAS COMOSUS;TX
11057;PERSEA AMERICANA;TX
11059;THUNNUS ALALUNGA;TX
11060;MALUS DOMESTICA;TX
11061;MALUS;TX
11062;PYRUS COMMUNIS;TX
11063;PRUNUS DOMESTICA;TX
11064;AGARICUS BISPORUS;TX
11065;ROSA RUGOSA;TX
11067;THUNNUS ALALUNGA;TX
11071;MANGIFERA INDICA, CARICA PAPAYA;TX
11074;MEDICAGO SATIVA;TX
11086;ANACARDIUM OCCIDENTALE;TX
11089;CICER ARIETINUM;TX
11090;PHASEOLUS VULGARIS;TX
11134;OCIMUM BASILICUM;TX
11135;PHYLLOSTACHYS SPP.;TX
11177;PIPER NIGRUM;TX
11178;PIPER NIGRUM;TX
11182;CAPSICUM ANNUUM;TX
11191;ORIGANUM VULGARE;TX
11194;THYMUS VULGARIS;TX
11203;CUCUMIS MELO;TX
11212;HELIANTHUS ANNUUS;TX
11503;VITIS VINIFERA;TX
11505;MUSA SAPIENTUM;TX
11511;SOLANUM TUBEROSUM;TX
11521;ORYZA SATIVA;TX
11557;CITRUS LIMON;TX
11558;CITRUS SINENSIS;TX
11587;ROSA;TX
11680;SOLANUM TUBEROSUM;TX
11689;ASPARAGUS OFFICINALIS L.;TX
11734;LENTINULA EDODES;TX
11735;PLEUROTUS OSTREATUS;TX
28905;TRITICUM DURUM DESF.;TX
28908;HORDEUM VULGARE;TX
28910;ORYZA SATIVA;TX
28911;ORYZA SATIVA;TX
28913;SOLANUM TUBEROSUM;TX
28914;SOLANUM TUBEROSUM;TX
28915;CUCUMIS MELO L. VAR. RETUCULATA/CANTALUPENSIS;TX
28916;MALUS;TX
28917;PYRUS COMMUNIS;TX
28918;PRUNUS DOMESTICA;TX
28919;PRUNUS DOMESTICA;TX
28920;PRUNUS AVIUM, PRUNUS CERASUS;TX
28921;PRUNUS ARMENIACA;TX
28922;PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA;TX
28923;ANANAS COMOSUS;TX
28924;CITRUS SINENSIS;TX
28925;CITRUS LIMON;TX
28926;CITRUS PARADISI;TX
28931;CITRULLUS VULGARIS/LANATUS;TX
28932;VITIS VINIFERA L.;TX
28933;PERSEA AMERICANA;TX
28934;MUSA SAPIENTUM;TX
28935;CITRUS RETICULATA;TX
28936;FICUS CARICA;TX
28937;PHOENIX DACTYLIFERA;TX
28938;OLEA EUROPAEA SATIVA;TX
28939;ACTINIDIA CHINENSIS;TX
28941;MALUS DOMESTICA;TX
28942;MALUS;TX
28944;CUCUMIS MELO;TX
28962;ZEA MAYS;TX
29150;VACCINIUM VITIS-IDAEA;TX
29207;CLUPEA HARENGUS MEMBRAS;TX
29217;LACTARIUS RUFUS/TRIVIALIS;TX
29410;BOLETUS EDULIS;TX
29411;BOLETUS EDULIS;TX
29510;PASTINACA SATIVA;TX
29511;APIUM GRAVEOLENS VAR. RAPACEUM;TX
29782;TRITICUM SPP.;TX
29822;ZEA MAYS;TX
29823;ZEA MAYS;TX
30190;AVENA SATIVA;TX
30214;ELEOCHARIS DULCIS;TX
30223;LPOMOEA BATATAS;TX
30348;ORYZA SATIVA;TX
30602;SOLANUM TUBEROSUM;TX
30603;SOLANUM TUBEROSUM;TX
30914;FOENICULUM VULGARE VAR. AZORICUM;TX
30968;PINUS SPP.;TX
30991;LINUM USITATISSIMUS;TX
31175;CHENOPODIUM QUINOA WILLD;TX
31211;CUCURBITA PEPO;TX
31212;PISTACIA VERA;TX
31213;VIGNA RADIATA;TX
31214;PHASEOLUS VULGARIS L.;TX
31216;VIGNA ANGULARIS;TX
31217;VIGNA ANGULARIS;TX
31218;CICER ARIETINUM;TX
31219;LENS CULINARIS;TX
31225;LENS CULINARIS;TX
31233;VICIA FABA;TX
31555;PUNICA GRANATUM;TX
32202;PANDALUS;TX
32455;CITRUS PARADISI;TX
33060;CARICA PAPAYA;TX
33065;MANGIFERA INDICA;TX
33067;MANGIFERA INDICA, CARICA PAPAYA;TX
33130;ANACARDIUM OCCIDENTALE;TX
33131;PISTACIA VERA;TX
33382;ONCORHYNCHUS MYKISS;TX
33408;COREGONUS LAVARETUS;TX
33409;ONCORHYNCHUS MYKISS;TX
33414;ONCORHYNCHUS MYKISS;TX
33419;ONCORHYNCHUS MYKISS;TX
33420;ONCORHYNCHUS MYKISS;TX
33433;OCIMUM BASILICUM;TX
33456;SPINACIA OLERACEA;TX
33482;AGARICUS BISPORUS;TX
33494;CAPSICUM ANNUUM;TX
33499;GLYSINE MAX;TX
33501;GLYCINE MAX;TX
33522;SPIRULINA SPP.;TX
33559;FRAGARIA ANANASSA;TX
33757;CITRUS SINENSIS;TX
33893;GLYSINE MAX;TX
33928;MALUS;TX
34136;PORPHYRA SPP.;TX
34137;UNDARIA SPP.;TX
